,,per person per week,,
,Total expenditure,45.31107165,,
,Household expenditure,,31.38974262,
,Eating out expenditure,,13.92132903,
Household,Food and drink,,,27.53978969
Household,Alcohol,,,3.849952929
Eating out,Food and drink,,,10.65190493
Eating out,Alcohol,,,3.2694241
